"Observation station,""Year"",""Month"",""Day"",""Time [Local time]"",""Global radiation mean [W/m2]"""
"Juva Partala,""2023"",""1"",""1"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""10:00"",""4.8"""
"Juva Partala,""2023"",""1"",""1"",""11:00"",""15.9"""
"Juva Partala,""2023"",""1"",""1"",""12:00"",""31"""
"Juva Partala,""2023"",""1"",""1"",""13:00"",""52.3"""
"Juva Partala,""2023"",""1"",""1"",""14:00"",""19.4"""
"Juva Partala,""2023"",""1"",""1"",""15:00"",""7.4"""
"Juva Partala,""2023"",""1"",""1"",""16:00"",""0.1"""
"Juva Partala,""2023"",""1"",""1"",""17:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""18:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""19:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""20:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""21:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""22:00"",""0"""
"Juva Partala,""2023"",""1"",""1"",""23:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""00:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""01:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""02:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""03:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""04:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""05:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""06:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""07:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""08:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""09:00"",""0"""
"Juva Partala,""2023"",""1"",""2"",""10:00"",""5.3"""
"Juva Partala,""2023"",""1"",""2"",""11:00"",""24.3"""
"Juva Partala,""2023"",""1"",""2"",""12:00"",""57.4"""
"Juva Partala,""2023"",""1"",""2"",""13:00"",""64.7"""
"Juva Partala,""2023"",""1"",""2"",""14:00"",""16.3"""
"Juva Partala,""2023"",""1"",""2"",""15:00"",""6.6"""
"Juva Partala,""2023"",""1"",""2"",""16:00"",""0"""
